"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.5291,12.905,75.684,-0.41674,0.00057953,1.3726e-21,-1.2822e-19,70.391,-0.41674,12.905,75.684,0.020315,-0.021119,1.4032e-20,1,10.16,60.96,0,0
5.529,12.97,75.378,-0.41279,0.00076775,2.8607e-22,-8.8314e-21,70.07,-0.41279,12.97,75.378,0.020312,-0.021059,1.8437e-21,1,10.262,61.062,0,0
5.529,13.036,75.073,-0.40883,0.00095598,-7.0216e-23,5.62e-20,69.749,-0.40884,13.036,75.073,0.02031,-0.020999,-5.6432e-22,1,10.363,61.163,0,0
5.5289,13.101,74.767,-0.40488,0.0011442,6.7362e-22,8.762e-21,69.427,-0.40488,13.101,74.767,0.020308,-0.020939,5.7261e-21,1,10.465,61.265,0,0
5.5289,13.166,74.462,-0.40093,0.0013324,-3.0121e-22,-1.511e-20,69.106,-0.40093,13.166,74.462,0.020305,-0.020879,5.09e-22,1,10.566,61.366,0,0
5.5288,13.232,74.157,-0.39698,0.0015206,-1.2903e-23,2.3356e-20,68.785,-0.39698,13.232,74.157,0.020303,-0.020819,-5.8964e-21,1,10.668,61.468,0,0
5.5287,13.297,73.851,-0.39303,0.0017089,3.3212e-23,-2.6191e-20,68.463,-0.39303,13.297,73.851,0.0203,-0.020759,-3.3886e-21,1,10.77,61.57,0,0
5.5287,13.362,73.546,-0.38908,0.0018971,-1.7815e-22,2.8308e-20,68.142,-0.38908,13.362,73.546,0.020298,-0.020699,-3.9972e-21,1,10.871,61.671,0,0
5.5286,13.428,73.24,-0.38513,0.0020853,1.7023e-22,-3.521e-20,67.821,-0.38513,13.428,73.24,0.020295,-0.020639,4.5946e-21,1,10.973,61.773,0,0
5.5285,13.493,72.935,-0.38117,0.0022735,3.7869e-23,9.1938e-20,67.499,-0.38117,13.493,72.935,0.020293,-0.020579,-5.0761e-21,1,11.074,61.874,0,0
5.5285,13.559,72.63,-0.37722,0.0024618,-7.0389e-23,5.6646e-20,67.178,-0.37722,13.559,72.63,0.02029,-0.020519,-2.8443e-21,1,11.176,61.976,0,0
5.5284,13.624,72.324,-0.37327,0.00265,1.8663e-22,4.296e-20,66.857,-0.37327,13.624,72.324,0.020288,-0.020459,1.6781e-21,1,11.278,62.078,0,0
5.5284,13.689,72.019,-0.36932,0.0028382,6.7593e-22,1.1397e-21,66.535,-0.36932,13.689,72.019,0.020286,-0.020399,-2.8299e-21,1,11.379,62.179,0,0
5.5283,13.755,71.714,-0.36537,0.0030264,-5.8898e-22,-2.8136e-20,66.214,-0.36537,13.755,71.714,0.020283,-0.020339,1.2183e-21,1,11.481,62.281,0,0
5.5282,13.82,71.408,-0.36142,0.0032146,6.8659e-22,-8.4442e-21,65.893,-0.36142,13.82,71.408,0.020281,-0.020279,4.2952e-21,1,11.582,62.382,0,0
5.5282,13.885,71.103,-0.35746,0.0034029,-5.943e-22,-2.2594e-20,65.572,-0.35747,13.885,71.103,0.020278,-0.020219,1.9847e-21,1,11.684,62.484,0,0
5.5281,13.951,70.797,-0.35351,0.0035911,-2.718e-22,5.2719e-20,65.25,-0.35351,13.951,70.797,0.020276,-0.020159,-1.6304e-21,1,11.786,62.586,0,0
5.5281,14.016,70.492,-0.34956,0.0037793,3.6799e-22,8.7045e-20,64.929,-0.34956,14.016,70.492,0.020273,-0.020099,-2.6385e-21,1,11.887,62.687,0,0
5.528,14.081,70.187,-0.34561,0.0039675,-3.9358e-22,2.4748e-19,64.608,-0.34561,14.081,70.187,0.020271,-0.020039,5.16e-21,1,11.989,62.789,0,0
5.5279,14.147,69.881,-0.34166,0.0041558,-8.5496e-22,-6.362e-20,64.286,-0.34166,14.147,69.881,0.020268,-0.019979,-1.3387e-21,1,12.09,62.89,0,0
5.5279,14.212,69.576,-0.33771,0.004344,-3.4488e-22,-1.1448e-19,63.965,-0.33771,14.212,69.576,0.020266,-0.019919,-2.6928e-21,1,12.192,62.992,0,0
5.5278,14.277,69.271,-0.33376,0.0045322,1.2335e-22,1.6586e-19,63.644,-0.33376,14.277,69.271,0.020264,-0.019859,-3.1499e-21,1,12.294,63.094,0,0
5.5277,14.343,68.965,-0.3298,0.0047204,-4.4091e-22,-2.9216e-20,63.322,-0.32981,14.343,68.965,0.020261,-0.019799,-1.5391e-22,1,12.395,63.195,0,0
5.5277,14.408,68.66,-0.32585,0.0049086,-1.4131e-21,4.8884e-20,63.001,-0.32585,14.408,68.66,0.020259,-0.019739,6.7873e-21,1,12.497,63.297,0,0
5.5276,14.473,68.354,-0.3219,0.0050969,2.0367e-22,1.4103e-19,62.68,-0.3219,14.473,68.354,0.020256,-0.019679,7.1622e-22,1,12.598,63.398,0,0
5.5276,14.539,68.049,-0.31795,0.0052851,-2.2774e-22,3.1312e-19,62.358,-0.31795,14.539,68.049,0.020254,-0.019619,-8.4821e-22,1,12.7,63.5,0,0
5.5275,14.604,67.744,-0.314,0.0054733,-8.526e-23,-2.8152e-19,62.037,-0.314,14.604,67.744,0.020251,-0.019559,-5.4073e-21,1,12.802,63.602,0,0
5.5274,14.67,67.438,-0.31005,0.0056615,1.6482e-21,-1.1413e-19,61.716,-0.31005,14.67,67.438,0.020249,-0.019499,-3.4955e-21,1,12.903,63.703,0,0
5.5274,14.735,67.133,-0.30609,0.0058498,2.2107e-21,-1.6047e-19,61.394,-0.3061,14.735,67.133,0.020246,-0.01944,1.9636e-21,1,13.005,63.805,0,0
5.5273,14.8,66.828,-0.30214,0.006038,6.6639e-22,1.8628e-20,61.073,-0.30215,14.8,66.828,0.020244,-0.01938,-2.1474e-21,1,13.106,63.906,0,0
