"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.038915,1.6755,6.7279e-09,16.946,156.2,1.3994,-0.0015191,5.265e-09,-3.7862e-05,147.64,1.3994,16.946,156.2,0.63139,1,4.25,54.25,0,5
0.038908,1.677,6.7445e-09,16.949,155.97,1.2059,-0.0013905,3.7681e-09,-3.8756e-05,147.53,1.2059,16.949,155.97,0.62662,1,4.3,54.3,0,5
0.038901,1.6786,6.7601e-09,16.953,155.75,1.0123,-0.0012611,2.3654e-09,-3.9642e-05,147.42,1.0123,16.953,155.75,0.62186,1,4.35,54.35,0,5
0.038894,1.6801,6.7748e-09,16.957,155.53,0.81863,-0.0011308,1.0568e-09,-4.0521e-05,147.3,0.81863,16.957,155.53,0.61709,1,4.4,54.4,0,5
0.038887,1.6817,6.7884e-09,16.961,155.3,0.62482,-0.00099976,-1.5744e-10,-4.1392e-05,147.19,0.62482,16.961,155.3,0.61232,1,4.45,54.45,0,5
0.03888,1.6832,6.8011e-09,16.965,155.08,0.43091,-0.00086783,-1.2775e-09,-4.2256e-05,147.08,0.43091,16.965,155.08,0.60755,1,4.5,54.5,0,5
0.038873,1.6847,6.8128e-09,16.97,154.85,0.23687,-0.00073508,-2.3033e-09,-4.3112e-05,146.97,0.23687,16.97,154.85,0.60278,1,4.55,54.55,0,5
0.038871,1.6863,6.8235e-09,16.975,154.63,0.042725,0.00060149,1.7762e-09,-4.3961e-05,146.86,0.042725,16.975,154.63,0,1,4.6,54.6,0,5
0.038864,1.6878,6.8332e-09,16.98,154.41,-0.15155,0.00046706,2.5607e-09,-4.4803e-05,146.74,-0.15155,16.98,154.41,0,1,4.65,54.65,0,5
0.038857,1.6894,6.842e-09,16.985,154.18,-0.34593,0.0003318,3.2514e-09,-4.5637e-05,146.63,-0.34593,16.985,154.18,0,1,4.7,54.7,0,5
0.03885,1.6909,6.8497e-09,16.991,153.96,-0.54042,0.00019571,3.8484e-09,-4.6464e-05,146.52,-0.54042,16.991,153.96,0,1,4.75,54.75,0,5
0.038843,1.6925,6.8565e-09,16.996,153.73,-0.73503,5.8787e-05,4.3517e-09,-4.7283e-05,146.41,-0.73503,16.996,153.73,0,1,4.8,54.8,0,5
